File,Selection,Gender,Speaker ID,y_true,y_pred,Dataset
NP_f_43_dis00a.wav,NP,f,43,dis,dis,train
NP_f_43_tri00a.wav,NP,f,43,tri,tri,train
NP_f_43_tri18b.wav,NP,f,43,tri,tri,train
NP_f_43_sor05b.wav,NP,f,43,sor,sor,train
NP_f_43_rab11b.wav,NP,f,43,rab,rab,train
NP_f_43_dis23b.wav,NP,f,43,dis,dis,train
NP_f_43_col03c.wav,NP,f,43,col,col,train
NP_f_43_dis02c.wav,NP,f,43,dis,dis,train
NP_f_43_rab10b.wav,NP,f,43,rab,rab,train
NP_f_43_dis02b.wav,NP,f,43,dis,dis,train
NP_f_43_pau01b.wav,NP,f,43,pau,pau,train
NP_f_43_rab20b.wav,NP,f,43,rab,rab,train
NP_f_43_dis10b.wav,NP,f,43,dis,dis,train
NP_f_43_rab05b.wav,NP,f,43,rab,rab,train
NP_f_43_tri10b.wav,NP,f,43,tri,tri,train
NP_f_43_tri13b.wav,NP,f,43,tri,tri,train
NP_f_43_dis13b.wav,NP,f,43,dis,dis,train
NP_f_43_sor10b.wav,NP,f,43,sor,sor,train
NP_f_43_rab02c.wav,NP,f,43,rab,rab,train
NP_f_43_pau10b.wav,NP,f,43,pau,pau,train
NP_f_43_gio03b.wav,NP,f,43,gio,gio,train
NP_f_43_dis11b.wav,NP,f,43,dis,dis,train
NP_f_43_sor03b.wav,NP,f,43,sor,sor,train
NP_f_43_pau06b.wav,NP,f,43,pau,pau,train
NP_f_43_sor08b.wav,NP,f,43,sor,sor,train
NP_f_43_tri06b.wav,NP,f,43,tri,tri,train
NP_f_43_col02c.wav,NP,f,43,col,col,train
NP_f_43_dis20b.wav,NP,f,43,dis,dis,train
PR_f_43_pau01c.wav,PR,f,43,pau,pau,train
PR_f_43_tri19b.wav,PR,f,43,tri,tri,train
NP_f_43_gio17b.wav,NP,f,43,gio,gio,train
NP_f_43_sor04b.wav,NP,f,43,sor,sor,train
NP_f_43_col03b.wav,NP,f,43,col,col,train
NP_f_43_col02b.wav,NP,f,43,col,col,train
NP_f_43_tri11b.wav,NP,f,43,tri,tri,train
NP_f_43_dis01c.wav,NP,f,43,dis,dis,train
NP_f_43_tri04b.wav,NP,f,43,tri,tri,train
PR_f_43_tri09b.wav,PR,f,43,tri,tri,train
NP_f_43_rab08b.wav,NP,f,43,rab,rab,train
NP_f_43_gio07b.wav,NP,f,43,gio,gio,train
NP_f_43_gio02b.wav,NP,f,43,gio,gio,train
NP_f_43_rab15b.wav,NP,f,43,rab,rab,train
NP_f_43_pau09b.wav,NP,f,43,pau,pau,train
NP_f_43_tri04c.wav,NP,f,43,tri,tri,train
NP_f_43_sor01b.wav,NP,f,43,sor,sor,train
NP_f_43_gio06b.wav,NP,f,43,gio,gio,train
NP_f_43_col05b.wav,NP,f,43,col,col,train
NP_f_43_rab14b.wav,NP,f,43,rab,rab,train
NP_f_43_pau02c.wav,NP,f,43,pau,pau,train
NP_f_43_rab04b.wav,NP,f,43,rab,rab,train
NP_f_43_gio18b.wav,NP,f,43,gio,gio,train
NP_f_43_rab13b.wav,NP,f,43,rab,rab,train
NP_f_43_dis19b.wav,NP,f,43,dis,dis,train
NP_f_43_pau07b.wav,NP,f,43,pau,pau,train
NP_f_43_rab01c.wav,NP,f,43,rab,rab,train
NP_f_43_rab19b.wav,NP,f,43,rab,rab,train
NP_f_43_dis03c.wav,NP,f,43,dis,dis,train
NP_f_43_col10b.wav,NP,f,43,col,col,train
NP_f_43_gio04b.wav,NP,f,43,gio,gio,train
NP_f_43_gio12b.wav,NP,f,43,gio,gio,train
NP_f_43_dis09b.wav,NP,f,43,dis,dis,train
NP_f_43_rab00a.wav,NP,f,43,rab,rab,train
NP_f_43_gio00a.wav,NP,f,43,gio,gio,train
NP_f_43_tri01b.wav,NP,f,43,tri,tri,train
NP_f_43_col08b.wav,NP,f,43,col,col,train
NP_f_43_col01c.wav,NP,f,43,col,col,train
NP_f_43_pau13b.wav,NP,f,43,pau,pau,train
NP_f_43_sor06b.wav,NP,f,43,sor,sor,train
NP_f_43_tri07b.wav,NP,f,43,tri,tri,train
PR_f_43_pau12b.wav,PR,f,43,pau,pau,train
NP_f_43_gio14b.wav,NP,f,43,gio,gio,train
NP_f_43_rab18b.wav,NP,f,43,rab,rab,train
NP_f_43_dis06b.wav,NP,f,43,dis,dis,train
NP_f_43_pau00a.wav,NP,f,43,pau,pau,train
PR_f_43_tri02c.wav,PR,f,43,tri,tri,train
NP_f_43_gio15b.wav,NP,f,43,gio,gio,train
NP_f_43_dis12b.wav,NP,f,43,dis,dis,train
NP_f_43_sor09b.wav,NP,f,43,sor,sor,train
NP_f_43_sor00a.wav,NP,f,43,sor,sor,train
NP_f_43_col06b.wav,NP,f,43,col,col,train
NP_f_43_gio11b.wav,NP,f,43,gio,gio,train
NP_f_43_pau08b.wav,NP,f,43,pau,pau,train
NP_f_43_col12b.wav,NP,f,43,col,col,train
NP_f_43_gio01c.wav,NP,f,43,gio,gio,train
NP_f_43_tri03c.wav,NP,f,43,tri,tri,train
NP_f_43_gio09b.wav,NP,f,43,gio,gio,train
NP_f_43_col13b.wav,NP,f,43,col,col,train
NP_f_43_tri03b.wav,NP,f,43,tri,tri,train
NP_f_43_pau05b.wav,NP,f,43,pau,pau,dev
NP_f_43_tri16b.wav,NP,f,43,tri,tri,dev
NP_f_43_gio02c.wav,NP,f,43,gio,gio,dev
NP_f_43_tri12b.wav,NP,f,43,tri,tri,dev
NP_f_43_rab03b.wav,NP,f,43,rab,rab,dev
NP_f_43_dis05b.wav,NP,f,43,dis,dis,dev
NP_f_43_dis04b.wav,NP,f,43,dis,dis,dev
NP_f_43_gio08b.wav,NP,f,43,gio,gio,dev
NP_f_43_sor07b.wav,NP,f,43,sor,sor,dev
NP_f_43_tri14b.wav,NP,f,43,tri,tri,dev
NP_f_43_pau03b.wav,NP,f,43,pau,pau,dev
NP_f_43_rab17b.wav,NP,f,43,rab,rab,dev
NP_f_43_gio01b.wav,NP,f,43,gio,gio,dev
NP_f_43_rab06b.wav,NP,f,43,rab,rab,dev
NP_f_43_dis16b.wav,NP,f,43,dis,dis,dev
NP_f_43_col09b.wav,NP,f,43,col,col,dev
NP_f_43_col01b.wav,NP,f,43,col,col,dev
NP_f_43_col00a.wav,NP,f,43,col,col,dev
NP_f_43_dis07b.wav,NP,f,43,dis,dis,dev
NP_f_43_pau04b.wav,NP,f,43,pau,pau,dev
NP_f_43_tri08b.wav,NP,f,43,tri,tri,dev
NP_f_43_sor02b.wav,NP,f,43,sor,sor,dev
NP_f_43_rab07b.wav,NP,f,43,rab,pau,test
NP_f_43_pau02b.wav,NP,f,43,pau,rab,test
NP_f_43_dis08b.wav,NP,f,43,dis,gio,test
NP_f_43_dis03b.wav,NP,f,43,dis,dis,test
NP_f_43_tri17b.wav,NP,f,43,tri,tri,test
NP_f_43_tri02b.wav,NP,f,43,tri,gio,test
NP_f_43_pau14b.wav,NP,f,43,pau,pau,test
NP_f_43_dis22b.wav,NP,f,43,dis,dis,test
NP_f_43_rab02b.wav,NP,f,43,rab,gio,test
NP_f_43_col11b.wav,NP,f,43,col,col,test
NP_f_43_gio20b.wav,NP,f,43,gio,gio,test
NP_f_43_sor12b.wav,NP,f,43,sor,dis,test
NP_f_43_col07b.wav,NP,f,43,col,dis,test
NP_f_43_pau15b.wav,NP,f,43,pau,pau,test
